id,collection_date,transductor_id,generated_energy_peak_time,generated_energy_off_peak_time,consumption_peak_time,consumption_off_peak_time,inductive_power_peak_time,inductive_power_off_peak_time,capacitive_power_peak_time,capacitive_power_off_peak_time,tax_id
27238,2020-11-04 06:45:00,1,0.0,1508.12023925781,0.0,4161.029296875,0.0,2572.10400390625,0.0,2297.9609375,
27239,2020-11-04 07:00:00,1,0.0,1811.87890625,0.0,4553.15576171875,0.0,3063.61743164062,0.0,2502.11938476562,
27240,2020-11-04 07:15:00,1,0.0,1549.22302246094,0.0,4195.73388671875,0.0,2601.1875,0.0,2320.796875,
27241,2020-11-04 07:30:00,1,0.0,1537.16687011719,0.0,4180.109375,0.0,2546.39086914062,0.0,2300.39721679688,
27242,2020-11-04 07:45:00,1,0.0,1607.25158691406,0.0,4255.71630859375,0.0,2667.638671875,0.0,2352.40405273438,
27243,2020-11-04 08:00:00,1,0.0,1593.42797851562,0.0,4226.51953125,0.0,2649.24291992188,0.0,2317.09936523438,
27244,2020-11-04 08:15:00,1,0.0,1570.3798828125,0.0,4214.3447265625,0.0,2609.03955078125,0.0,2313.50146484375,
27245,2020-11-04 08:30:00,1,0.0,1596.27465820312,0.0,4282.431640625,0.0,2657.45068359375,0.0,2347.6884765625,
27246,2020-11-04 08:45:00,1,0.0,1647.27307128906,0.0,4329.69580078125,0.0,2721.47119140625,0.0,2362.16650390625,
27247,2020-11-04 09:15:00,1,0.0,1598.31079101562,0.0,4319.21240234375,0.0,2687.1611328125,0.0,2362.79516601562,
27248,2020-11-04 09:30:00,1,0.0,1696.63806152344,0.0,4493.5830078125,0.0,2837.86840820312,0.0,2433.82080078125,
27249,2020-11-04 09:45:00,1,0.0,1618.42834472656,0.0,4331.83203125,0.0,2738.38159179688,0.0,2395.5,
27307,2020-11-04 09:45:00,1,0.0,1618.42834472656,0.0,4331.83203125,0.0,2738.38159179688,0.0,2395.5,
27308,2020-11-04 10:00:00,1,0.0,1606.64538574219,0.0,4318.29931640625,0.0,2639.83520507812,0.0,2376.80224609375,
27309,2020-11-04 10:15:00,1,0.0,1633.28466796875,0.0,4331.35986328125,0.0,2684.60083007812,0.0,2392.302734375,
27310,2020-11-04 10:30:00,1,0.0,1143.19909667969,0.0,3041.8095703125,0.0,1952.76196289062,0.0,1699.85192871094,
27311,2020-11-04 10:45:00,1,0.0,543.245788574219,0.0,1531.30847167969,0.0,942.372314453125,0.0,887.538940429688,
27384,2020-11-04 11:00:00,1,0.0,1553.44421386719,0.0,4187.0234375,0.0,2607.23168945312,0.0,2348.9619140625,
27385,2020-11-04 11:15:00,1,0.0,1701.04455566406,0.0,4368.4560546875,0.0,2829.64428710938,0.0,2420.48022460938,
27386,2020-11-04 11:30:00,1,0.0,1711.85827636719,0.0,4383.5390625,0.0,2830.59106445312,0.0,2448.578125,
27387,2020-11-04 11:45:00,1,0.0,1679.76135253906,0.0,4358.779296875,0.0,2823.8896484375,0.0,2414.552734375,
27388,2020-11-04 12:00:00,1,0.0,1711.21484375,0.0,4437.99169921875,0.0,2897.43212890625,0.0,2459.3330078125,
27389,2020-11-04 12:15:00,1,0.0,1679.04699707031,0.0,4402.04248046875,0.0,2800.2626953125,0.0,2433.82153320312,
27390,2020-11-04 12:30:00,1,0.0,1655.74169921875,0.0,4336.638671875,0.0,2727.05444335938,0.0,2408.53515625,
27391,2020-11-04 12:45:00,1,0.0,1680.0,0.0,4389.94189453125,0.0,2778.22021484375,0.0,2433.89965820312,
27392,2020-11-04 13:00:00,1,0.0,1723.99194335938,0.0,4458.26220703125,0.0,2865.13110351562,0.0,2458.626953125,
27393,2020-11-04 13:15:00,1,0.0,1685.34826660156,0.0,4408.689453125,0.0,2781.80029296875,0.0,2430.22705078125,
